#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 13 42  MM   MM   MM    MM    MM    MM  MM 1030.2   8.6  13.1    MM   MM   MM    MM
2023 11 15 13 36  MM   MM   MM    MM    MM    MM  MM 1030.2   8.6  13.0    MM   MM   MM    MM
2023 11 15 13 30  MM   MM   MM    MM    MM    MM  MM 1030.3   8.3  13.0    MM   MM   MM    MM
2023 11 15 13 24  MM   MM   MM    MM    MM    MM  MM 1030.1   8.1  13.0    MM   MM   MM    MM
2023 11 15 13 18 360  2.1  2.6    MM    MM    MM  MM 1030.1   7.9  13.0    MM   MM   MM    MM
2023 11 15 13 12 350  2.1  2.6    MM    MM    MM  MM 1030.1   8.1  13.0    MM   MM   MM    MM
2023 11 15 13 06 330  2.1  2.6    MM    MM    MM  MM 1030.0   8.0  13.0    MM   MM   MM    MM
2023 11 15 13 00 360  2.1  2.6    MM    MM    MM  MM 1029.8   7.9  12.9    MM   MM +1.1    MM
2023 11 15 12 54  10  2.1  2.6    MM    MM    MM  MM 1029.6   7.8  12.9    MM   MM   MM    MM
2023 11 15 12 48  10  2.1  2.1    MM    MM    MM  MM 1029.5   8.0  12.9    MM   MM   MM    MM
2023 11 15 12 42  10  2.1  2.6    MM    MM    MM  MM 1029.5   7.8  12.9    MM   MM   MM    MM
2023 11 15 12 36 360  2.1  2.6    MM    MM    MM  MM 1029.4   7.6  12.9    MM   MM   MM    MM
2023 11 15 12 30  10  2.1  2.6    MM    MM    MM  MM 1029.3   7.6  12.9    MM   MM   MM    MM
2023 11 15 12 24  10  2.1  2.6    MM    MM    MM  MM 1029.3   7.6  12.9    MM   MM   MM    MM
2023 11 15 12 18 350  2.1  2.1    MM    MM    MM  MM 1029.3   7.5  12.9    MM   MM   MM    MM
2023 11 15 12 12 340  2.1  2.1    MM    MM    MM  MM 1029.2   7.3  12.9    MM   MM   MM    MM
2023 11 15 12 06 350  2.1  2.1    MM    MM    MM  MM 1029.2   7.7  12.9    MM   MM   MM    MM
2023 11 15 12 00 360  1.5  2.1    MM    MM    MM  MM 1029.1   7.6  12.9    MM   MM +0.6    MM
2023 11 15 11 54 360  1.5  2.6    MM    MM    MM  MM 1029.1   7.5  12.8    MM   MM   MM    MM
